year,region,prov_code,province,can_code,canton,added_value,product_tax,gdp,exports,imports
2019,Chorotega,5,Guanacaste,507,Abangares,91318.14,11353.53,102671.67,9484.284904,8735.31
2019,Central,1,San Jose,112,Acosta,50354.22,3085.4,53439.62,11753.58528,7822.66
2019,Central,2,Alajuela,201,Alajuela,3347695.6,315325.72,3663021.31,2377792.011,1997857.51
2019,Central,1,San Jose,110,Alajuelita,170187.42,10454.34,180641.76,1035.856793,20130.6
2019,Central,3,Cartago,306,Alvarado,65974.25,2649.49,68623.74,16.35610241,920.03
2019,Central,1,San Jose,106,Aserri,137425.46,9139.1,146564.56,31430.09864,5729.93
2019,Central,2,Alajuela,205,Atenas,111514.82,5737.95,117252.77,1932.141908,4633.58
2019,Chorotega,5,Guanacaste,504,Bagaces,157730.23,8225.69,165955.92,515.4255593,580.51
2019,Central,4,Heredia,402,Barva,186328.51,10697.99,197026.5,8386.467758,15774.4
2019,Central,4,Heredia,407,Belen,1076496.82,65497.68,1141994.5,4373.005297,25066.79
2019,Brunca,6,Puntarenas,603,Buenos Aires,111310.99,2484.12,113795.11,144.8354165,482.06
2019,Chorotega,5,Guanacaste,506,Canas,142173.78,7213.92,149387.7,34109.60898,21064.86
2019,Chorotega,5,Guanacaste,505,Carrillo,217606.26,18354.73,235960.99,13344.27028,6446.62
2019,Central,3,Cartago,301,Cartago,1196634.93,204602.14,1401237.07,561071.6943,502169.3
2019,Brunca,6,Puntarenas,610,Corredores,157783.03,4934.0,162717.03,87939.30236,10787.23
2019,Brunca,6,Puntarenas,608,Coto Brus,110566.05,4151.2,114717.25,235.5887024,1085.72
2019,Central,1,San Jose,118,Curridabat,779290.64,43635.54,822926.18,11628.66568,56035.88
2019,Central,1,San Jose,103,Desamparados,923245.85,76502.98,999748.83,37369.9009,229606.17
2019,Central,1,San Jose,117,Dota,27146.77,1107.52,28254.29,1241.747293,44.66
2019,Central,3,Cartago,308,El Guarco,206784.81,15699.14,222483.95,12916.07638,21972.02
2019,Central,1,San Jose,102,Escazu,1424373.29,93262.12,1517635.42,11040.03184,54072.95
2019,Pacifico Central,6,Puntarenas,602,Esparza,108756.26,11270.55,120026.81,66284.84648,113715.06
2019,Central,4,Heredia,408,Flores,270204.19,24712.98,294917.17,2417.243561,6868.06
2019,Pacifico Central,6,Puntarenas,611,Garabito,161245.35,15770.82,177016.17,1449.883956,5565.3
2019,Central,1,San Jose,108,Goicoechea,897636.94,182361.62,1079998.56,2141.831905,84374.27
2019,Brunca,6,Puntarenas,607,Golfito,164607.29,10318.93,174926.22,281.491627,22881.5
2019,Central,2,Alajuela,203,Grecia,342508.2,49885.28,392393.48,110293.6806,76174.38
2019,Huetar Caribe,7,Limon,706,Guacimo,155082.35,5181.53,160263.88,58030.80003,23106.88
2019,Huetar Norte,2,Alajuela,215,Guatuso,51087.49,2169.68,53257.17,274.0609938,1649.46
2019,Central,4,Heredia,401,Heredia,1962524.19,117441.31,2079965.5,734512.4565,565426.34
2019,Chorotega,5,Guanacaste,511,Hojancha,19749.24,967.84,20717.08,75.60056439,111.03
2019,Central,3,Cartago,304,Jimenez,85122.13,4201.3,89323.43,1130.073536,874.67
2019,Chorotega,5,Guanacaste,510,La Cruz,83833.02,5948.29,89781.3,20750.1404,7126.75
2019,Central,3,Cartago,303,La Union,571056.73,63828.94,634885.67,40920.88605,58209.92
2019,Central,1,San Jose,120,Leon Cortes Castro,67969.96,2521.01,70490.97,100.9159952,1953.37
2019,Chorotega,5,Guanacaste,501,Liberia,686791.84,55018.06,741809.9,6018.776668,24904.98
2019,Huetar Caribe,7,Limon,701,Limon,466223.85,23367.08,489590.93,123904.5013,1163511.5
2019,Huetar Norte,2,Alajuela,214,Los Chiles,115628.61,3764.41,119393.02,10650.78156,212.74
2019,Huetar Caribe,7,Limon,705,Matina,186204.93,6442.41,192647.34,27512.83289,6034.14
2019,Central,1,San Jose,115,Montes de Oca,1030598.98,41430.87,1072029.85,4561.224716,26154.47
2019,Pacifico Central,6,Puntarenas,604,Montes de Oro,61797.49,4512.72,66310.21,905.1461994,3064.0
2019,Central,1,San Jose,107,Mora,135380.48,8698.77,144079.26,7320.156161,7664.68
2019,Central,1,San Jose,114,Moravia,342932.7,30611.92,373544.61,17960.03833,38901.39
2019,Chorotega,5,Guanacaste,509,Nandayure,36594.31,1542.98,38137.29,3318.208695,145.62
2019,Central,2,Alajuela,206,Naranjo,159851.07,13780.72,173631.8,3637.744158,16416.91
2019,Chorotega,5,Guanacaste,502,Nicoya,217015.78,10231.67,227247.45,13049.40906,2939.72
2019,Central,3,Cartago,307,Oreamuno,137188.92,7392.03,144580.95,8136.078935,7575.39
2019,Pacifico Central,2,Alajuela,209,Orotina,80312.22,5253.04,85565.26,716.9338422,575.07
2019,Brunca,6,Puntarenas,605,Osa,126102.46,7839.31,133941.77,2426.083793,844.57
2019,Central,2,Alajuela,207,Palmares,158197.78,14002.05,172199.84,14587.43357,32071.84
2019,Central,3,Cartago,302,Paraiso,245026.26,17950.29,262976.56,31144.71426,15186.77
2019,Pacifico Central,6,Puntarenas,609,Parrita,70236.75,3095.5,73332.25,14225.61183,1126.54
2019,Brunca,1,San Jose,119,Perez Zeledon,501514.39,29122.56,530636.96,13021.31474,8462.87
2019,Central,2,Alajuela,208,Poas,147187.28,8309.13,155496.41,5430.652772,4312.15
2019,Huetar Caribe,7,Limon,702,Pococi,702425.33,50324.87,752750.2,439339.7271,120043.62
2019,Pacifico Central,6,Puntarenas,601,Puntarenas,614496.2,40820.57,655316.77,127987.7269,253651.61
2019,Central,1,San Jose,104,Puriscal,111683.8,16729.79,128413.59,1491.937754,3368.0
2019,Pacifico Central,6,Puntarenas,606,Quepos,180407.71,15025.95,195433.65,17555.24174,5856.41
2019,Huetar Norte,2,Alajuela,216,Rio Cuarto,49350.24,772.22,50122.46,7785.113658,19388.34
2019,Huetar Norte,2,Alajuela,210,San Carlos,991604.73,66895.23,1058499.96,265331.9708,59418.18
2019,Central,4,Heredia,406,San Isidro,117256.76,4115.34,121372.1,584.0578721,2856.71
2019,Central,1,San Jose,101,San Jose,6147938.22,551260.39,6699198.61,884942.5279,3234484.47
2019,Pacifico Central,2,Alajuela,204,San Mateo,28581.47,818.94,29400.41,38.5413196,75.01
2019,Central,4,Heredia,409,San Pablo,180864.28,10741.96,191606.23,23.02406337,2831.05
2019,Central,4,Heredia,405,San Rafael,212920.87,7094.13,220015.0,303.5409035,8889.42
2019,Central,2,Alajuela,202,San Ramon,366858.95,21890.37,388749.32,23149.51239,23662.56
2019,Central,1,San Jose,109,Santa Ana,1588254.17,77674.88,1665929.05,2151.482676,31275.47
2019,Central,4,Heredia,404,Santa Barbara,102679.21,5484.04,108163.25,4016.26916,9989.81
2019,Chorotega,5,Guanacaste,503,Santa Cruz,314972.49,25117.48,340089.97,405.874316,6898.84
2019,Central,4,Heredia,403,Santo Domingo,411464.7,36215.54,447680.24,14402.91474,48372.69
2019,Huetar Norte,4,Heredia,410,Sarapiqui,284193.68,13534.93,297728.62,122805.3103,11436.59
2019,Central,2,Alajuela,212,Sarchi,76523.29,4577.61,81100.91,11685.28682,2741.88
2019,Huetar Caribe,7,Limon,703,Siquirres,330372.38,19847.59,350219.97,59942.94987,70138.41
2019,Huetar Caribe,7,Limon,704,Talamanca,133983.22,8389.44,142372.65,2643.989796,327.78
2019,Central,1,San Jose,105,Tarrazu,66880.22,2708.92,69589.15,24464.3685,2119.15
2019,Central,1,San Jose,113,Tibas,452765.66,37786.23,490551.89,16385.9653,33874.93
2019,Chorotega,5,Guanacaste,508,Tilaran,210704.92,11034.66,221739.58,856.2988794,3204.5
2019,Central,3,Cartago,305,Turrialba,297864.75,25920.9,323785.65,22539.90045,11297.57
2019,Central,1,San Jose,116,Turrubares,14512.98,387.63,14900.61,0.0,105.96
2019,Huetar Norte,2,Alajuela,213,Upala,157713.82,5233.64,162947.46,23845.58213,389.15
2019,Central,1,San Jose,111,Vazquez de Coronado,279667.28,16868.27,296535.55,1174.932238,21019.34
2019,Central,2,Alajuela,211,Zarcero,82916.5,3849.21,86765.71,1261.601729,1471.73
2022,Chorotega,5,Guanacaste,507,Abangares,105334.74,12344.36,117679.11,24474.47,19670.35
2022,Central,1,San Jose,112,Acosta,71739.03,3841.69,75580.72,17308.79,3962.87
2022,Central,2,Alajuela,201,Alajuela,4106141.49,412775.41,4518916.91,3732599.37,2386526.64
