canton,population_2019
Sarapiqui,80895
Garabito,25381
Los Chiles,32993
Carrillo,45047
Talamanca,42351
Parrita,19828
La Cruz,26599
Liberia,75640
Santa Cruz,67758
Guacimo,54195
San Carlos,197218
Bagaces,23774
Quepos,32601
Alajuelita,93247
Esparza,37647
Poas,33541
Orotina,23467
Pococi,148593
Barva,46380
Puntarenas,138222
Santa Barbara,42208
Upala,53371
Alajuela,310248
Santa Ana,59701
San Rafael,54587
Buenos Aires,52784
Turrubares,6790
Guatuso,19010
Matina,45839
Flores,24603
Palmares,40473
Canas,32325
Golfito,45082
San Ramon,92874
Corredores,51865
Heredia,141683
Zarcero,14204
Naranjo,48310
Sarchi,21945
San Isidro,22996
La Union,111369
Leon Cortes Castro,13635
Atenas,29041
Vazquez de Coronado,70972
Montes de Oro,14177
San Mateo,7070
Nicoya,56053
Desamparados,242983
Escazu,69394
Santo Domingo,48581
Goicoechea,137328
Puriscal,37668
Aserri,63013
Belen,26237
Mora,30067
El Guarco,45935
Tarrazu,18399
Curridabat,78961
Paraiso,62480
Oreamuno,49604
Tibas,84215
Cartago,162944
San Jose,344851
Abangares,19877
Alvarado,15322
Acosta,21835
Dota,7905
Siquirres,64501
San Pablo,31000
Tilaran,21619
Moravia,62290
Hojancha,7945
Osa,30981
Limon,99545
Montes de Oca,62310
Nandayure,11750
Jimenez,16296
Coto Brus,44262
Perez Zeledon,142997
Turrialba,73656
Rio Cuarto,15484
Grecia,77172
