canton,province,area_km2,gdp,gdp_km2
San Jose,San Jose,44.6242805436681,8061933.97,180662.49745160175
Belen,Heredia,12.382715879976411,2005104.36,161927.6723648625
Montes de Oca,San Jose,15.776202262069443,1350329.81,85592.83074397339
Flores,Heredia,6.747947701954942,515481.9,76390.9151001067
Tibas,San Jose,8.269420094729307,610637.22,73842.81037907396
Curridabat,San Jose,16.062604158666264,959365.64,59726.6564327549
Escazu,San Jose,34.53479550706834,1994297.06,57747.46978281141
Goicoechea,San Jose,31.695987666991055,1077348.57,33990.06149671039
Santa Ana,San Jose,61.417554783867345,2023369.99,32944.48952128394
San Pablo,Heredia,8.338669501268416,222681.55,26704.68591735496
Santo Domingo,Heredia,25.39708769981937,654356.84,25765.03446907631
La Union,Cartago,44.179418433743216,634391.12,14359.42668533334
Moravia,San Jose,28.824479677870688,396995.9,13772.873073049233
Alajuela,Alajuela,391.6227679401824,4518916.91,11538.953503056371
Alajuelita,San Jose,21.46527061010382,198618.61,9253.021478634848
Heredia,Heredia,283.10911253749384,2591032.72,9152.064010856782
Desamparados,San Jose,118.9149750609181,961782.64,8087.9858866160075
San Rafael,Heredia,48.31283130694075,352210.03,7290.196423437526
Cartago,Cartago,278.63247269590966,1841491.28,6609.033262285057
Palmares,Alajuela,38.93607385213835,208171.53,5346.49514973034
San Isidro,Heredia,26.669084245225733,136780.48,5128.803026841324
Barva,Heredia,56.012008737996176,265154.06,4733.878787320311
Grecia,Alajuela,142.46713183099084,508069.38,3566.2217205490188
Santa Barbara,Heredia,52.10495308233242,141418.22,2714.1032019842974
Poas,Alajuela,74.48157452055942,166824.91,2239.814492025148
Vazquez de Coronado,San Jose,223.92610831743735,324300.59,1448.2482299039107
Mora,San Jose,163.4665454938169,227401.2,1391.1176706710391
Naranjo,Alajuela,127.01462720148318,172770.04,1360.2373506630465
El Guarco,Cartago,171.99679661909815,221726.62,1289.132265009754
Alvarado,Cartago,79.18394447825925,90704.81,1145.494968678959
Atenas,Alajuela,126.31062539074425,127205.0,1007.0807551343285
Aserri,San Jose,168.25912338280952,146549.87,870.9772584906532
Sarchi,Alajuela,136.76435127112876,111290.82,813.7414389468444
Oreamuno,Cartago,202.8987281222624,149944.03,739.0092160146364
Leon Cortes Castro,San Jose,121.8945727887114,88386.58,725.1067703662803
Zarcero,Alajuela,157.3559314466435,112093.28,712.3549711121552
Orotina,Alajuela,145.1107125034247,101212.19,697.4825514526457
Liberia,Guanacaste,1442.1691527457547,1005549.41,697.2478977833691
Garabito,Puntarenas,316.01050625212525,200371.6,634.0662605696277
Esparza,Puntarenas,217.23232332495766,134503.98,619.1711157036037
Paraiso,Cartago,476.9905689664233,290268.81,608.5420318246016
Siquirres,Limon,855.145625542894,457367.62,534.8417934192643
Carrillo,Guanacaste,599.0114682183937,300341.93,501.39595973561273
Jimenez,Cartago,250.07275878340377,115929.27,463.5821613037434
Puntarenas,Puntarenas,1817.5007698715253,833465.58,458.5778415152559
Quepos,Puntarenas,557.8544172418543,217810.45,390.44317525869775
San Ramon,Alajuela,1021.7357512054663,390786.57,382.4732270931515
Perez Zeledon,San Jose,1901.0822014510895,692119.06,364.0658249662786
San Carlos,Alajuela,3352.13494976377,1210334.15,361.06367080636
Pococi,Limon,2188.267257689772,789132.09,360.6196122648718
Tarrazu,San Jose,291.26763909673633,101427.4,348.2274938422313
Corredores,Puntarenas,623.6479843934007,205143.05,328.94045220002596
Montes de Oro,Puntarenas,247.58990146163103,80914.09,326.8069073994088
Santa Cruz,Guanacaste,1320.8099640795542,410124.83,310.51009695085673
Tilaran,Guanacaste,669.23446117363,190875.59,285.214825407023
Guacimo,Limon,801.5702325414992,223390.4,278.6909879271677
Limon,Limon,1770.039902150189,466654.27,263.64053682243156
Matina,Limon,770.3980377111492,184983.56,240.11426684001654
Puriscal,San Jose,547.6843576617406,131375.2,239.87393132951155
Canas,Guanacaste,687.047511798222,160993.55,234.32666189071645
Turrialba,Cartago,1589.2465654555394,354888.05,223.30584675404057
Rio Cuarto,Alajuela,254.89171487198627,56564.26,221.91486305629098
Acosta,San Jose,342.5614492905839,75580.72,220.63405020185826
Nicoya,Guanacaste,1337.5789818623723,282904.59,211.50496070602054
Parrita,Puntarenas,483.2179537306196,101369.01,209.77906391390076
Abangares,Guanacaste,646.7272066357853,117679.11,181.9609702399189
Coto Brus,Puntarenas,944.2355032539832,160428.58,169.90314328060956
San Mateo,Alajuela,125.02973994041844,20837.94,166.66386741210604
Sarapiqui,Heredia,2144.223528077148,295008.42,137.5828667753457
Bagaces,Guanacaste,1277.9257777893556,167275.15,130.89582580403388
Golfito,Puntarenas,1752.8345419911352,217087.1,123.84916818982786
Hojancha,Guanacaste,262.98936549617594,30552.12,116.17245413082777
Upala,Alajuela,1592.71837697036,175257.28,110.03657805052217
Dota,San Jose,404.4436765957512,37884.49,93.6706201438927
Osa,Puntarenas,1936.5359782150815,175568.22,90.66096472001642
Los Chiles,Alajuela,1332.7639960410027,109791.95,82.37913863680201
Nandayure,Guanacaste,568.1511834385061,40877.06,71.94750480428125
La Cruz,Guanacaste,1385.4661124392032,89074.4,64.29200916591076
Guatuso,Alajuela,752.8255188592531,47325.5,62.86383606086006
Talamanca,Limon,2792.22570010839,169066.72,60.549088131893164
Buenos Aires,Puntarenas,2382.9396522120005,140556.02,58.98429692482002
Turrubares,San Jose,423.5863489132144,17647.86,41.66295737640909
